judul;tanggal;isi_berita
RI Bisa Larang Boeing 737 Max 8 Melintas Seperti Singapura;2019-03-13;"Menteri Koordinator Kemaritiman Luhut Binsar Pandjaitan mengungkapkan, Indonesia tak menutup kemungkian mengambil kebijakan layaknya Singapura terkait pesawat  Boeing 737 Max 8.
Seperti diketahui Otoritas penerbangan Singapura (CAAS), memutuskan melarang semua varian  Boeing 737 MAX melintasi wilayah udaranya menyusul tragedi yang menimpa Ethiopian Airlines.
""Ya kalau dia (Singapura) bisa melarang, kenapa kita enggak bisa?,"" ujarnya di Hotel Shangri-la, Jakarta, Selasa (12/3/2019).
Meski begitu, Luhut mengatakan hal itu kemungkian tidak akan dilakukan dalam waktu dekat lantaran saat ini pemerintah sedang melakukan evaluasi secara cermat terkait Boeing 737 Max 8.
Luhut mengatakan evaluasi pesawat tersebut harus cermat dan tidak boleh terburu-buru lantaran ini terkait menyangkut keamanan dan keselamatan penumpang pesawat.
Pemerintah kata dia terus melalukan komunikasi secara aktif dengan Boeing dan otoritas penerbangan federal AS (FAA).
""Ya nanti kita lihat, kan ada 11 pesawat yang akan dilakukan inspeksi. Kita liat nanti,"" ucap dia.
""Kalau ternyata negara lain menemukan sesuatu saya kira kami enggak mau ambil risiko pesawat kita crash lagi gara-gara masalah design atau apa,"" sambung dia."
Bukopin Siapkan Fitur Manajemen Keuangan Personal Dalam Satu Aplikasi;2019-03-12;"PT Bank  Bukopin Tbk tengah mempersiapkan layanan manajemen keuangan personal bagi nasabah melalui digital. Fitur tersebut akan ditanamkan pada aplikasi Wokee milik Bukopin.
Direktur Konsumer Bank Bukopin Rivan A Purwantono mengatakan, dengan adanya manajemen keuangan personal, maka nasabah bisa memantau portfolio keuangannya hanya melalui gadget.
""Seluruh rekening tabungan yang eksisting, kartu kredit, pinjaman, fasilitas KPR, semua terintegrasi dalam satu aplikasi dengan digital Wokee,"" ujar Rivan di Jakarta, Selasa (12/3/2019).
Rivan mengatakan, rencananya fitur ini akan resmi diluncurkan pada akhir tahun 2018. Saat ini mereka masih proses membangun sistem tersebut. Bukopin menyadari bahwa kebutuhan masyarakat saat ini tak terlepas dari teknologi digital. Untuk mempermudah akses ke perbankan, maka fitur ini diperlukan.
""Selama ini belum ada yang multi begini. Kita tidak buru-buru karena yang lain (bank lain) belum menyiapkan,"" kata Rivan.
Bahkan, dalam fitur ini juga bisa diatur reminder untuk pembayaran kewajiban. Misalnya, pembayaran cicilan setiap tanggal 23 perbulannya. Maka aplikasi Wokee akan mengingatkan nasabah untuk melakukan pembayaran.
""Sekarang kan kita baru manual. Jadi dengan satu aplikasi, dia bisa lihat portfolionya,"" kata Rivan.
"
Sampoerna Dukung Pelaku UKM di Sulsel;2019-03-12;"PT HM  Sampoerna Tbk mendukung  UKM di Sulawesi Selatan yang menjadi binaannya, yakni Sampoerna Retail Community (SRC). Salah satu caranya adalah dengan mengajak masyarakat membeli produk UKM tersebut.
Sepak terjang para pelaku UKM di Sulsel kini semakin nyata. Data Dinas Koperasi dan UKM Provinsi Sulawesi Selatan mencatat, jumlah pelaku UKM di provinsi ini telah meningkat dari 916.232 unit pada tahun 2017 menjadi 1.000.000 unit pada tahun 2018.
Kepala Urusan Komersial & Pengembangan Bisnis Sampoerna Henny Susanto menyatakan, di tengah iklim perkembangan UKM yang sangat kondusif, sinergi antara pihak pemerintah dan sektor swasta dalam mengembangkan UKM di Indonesia menjadi sangat krusial. Sebab, potensi sektor ini luar biasa untuk dikembangkan.
Baca juga: Program SRC Jadi Senjata Sampoerna Dukung Bisnis UKM Indonesia
Menurut Henny, seiring dengan majunya para pelaku UKM, roda perekonomian daerah setempat pun akan semakin bergulir cepat.
”Pemberdayaan UKM merupakan upaya Sampoerna dalam mendukung pemerintah untuk mengakselerasi kemandirian ekonomi baik di tingkat nasional maupun daerah,"" kata Henny dalam keterangannya pada acara Pesta Retail SRC, Selasa (12/3/2019).
Di provinsi Sulsel, sebanyak 2.000 toko retail tradisional sudah menjadi bagian dari SRC dan dibina oleh Sampoerna secara berkelanjutan. Para pedagang tradisional di Sulsel mulai tergabung dalam SRC sejak tahun 2009 dan berasal dari berbagai wilayah termasuk Makassar, Jeneponto, Takalar, Gowa, Maros dan Pangkep.
Pemerintah provinsi Sulsel menyambut positif pelaksanaan Pesta Retail yang menarik setidaknya 2.000 pengunjung ini. Gubernur Sulsel Nurdin Abdullah menuturkan, meskipun perkembangan  ritel modern semakin pesat, SRC dapat membantu ritel tradisional meningkatkan kapasitas diri dan daya saing mereka.
""Ke depannya, upaya ini harus terus dilanjutkan dan disebarluaskan untuk memberikan kesempatan yang sama bagi pelaku usaha lokal dalam mengembangkan usahanya,” ujar Nurdin."
Membaca Perubahan Lifestyle Agar Usaha Tetap Bertahan...;2019-03-12;"Sejumlah toko ritel offline harus rela tutup. Hal ini lantaran terhempasan penetrasi belanja online atau e-commerce yang pesat saat ini.
Para pelaku usaha offline disarankan untuk membaca perubahan lifestyle masyarakat Indonesia saat ini agar tetap bisa bertahan.
""Itu tidak bisa dihindari karena sekarang lifestyle berubah masuk atau mencari yang lebih sederhana dengan online,"" ujar  Menteri Perdagangan Enggartiasto Lukita, Jakarta, Selasa (12/3/2019).
""Jadi kolaborasi dan sinergi antara offline dan online akan meningkatkan penjualan,"" sambung dia.
Ia mencontohkan perubahan lifestyle masyarakat Indonesia di bidang makanan yang kini lebih memilih membeli makanan melalui layanan dari Go-Jek, Go-Food.
Mendag bahkan menyebut, omzet pesanan Go-Food bisa mencapai Rp 1,5 triliun dalam bulan-bulan tertentu.
Selain itu kata dia, masyarakat Indonesia juga kini gemar berfoto selfie. Hal ini harusnya dilihat oleh para pelaku usaha kuliner dengan mengubah desain restoran menjadi lebih menarik.
""Anak muda ini foto-foto di sini. Makanan nomor dua, tetapi lingkungan itu jadi nomor satu.Lifestyle hangouts sangat tinggi,"" kata dia.

""Di sisi lain ngopi itu jadi lifestyle, kita mensyukuri itu. Kalau saja di China dari minum teh sebagain jadi minum kopi, maka ekspor kopi kita akan besar. Kami aktif mempromosikan minum kopi sebagai lifestyle,"" sambungnya."
Ini Strategi Ninja Express Hadapi Kenaikan Tarif Kargo Pesawat;2019-03-12;"Penyedia jasa layanan pengiriman  logistik,  Ninja Express terpaksa harus melakukan pengiriman barang melalui jalur darat karena adanya kenaikan  tarif kargo pesawat.
Namun, peralihan moda transportasi itu hanya dilakukan untuk pengiriman barang yang berada di Pulau Jawa.
""Kita ada shifting operasional, terutama untuk di Jawa, tol sudah bagus, infrastruktur tambah bagus. Jadi seluruh pengiriman di Pulau Jawa tidak lagi menggunakan (jalur) udara,"" ujar Country Head Ninja Express, Eric Saputra di Jakarta, Selasa (12/3/2019).
Baca juga: Asperindo Kritik Maskapai yang Ikut Bisnis Logistik
Kendati beralih ke jalur darat, Eric memastikan hal tersebut tidak akan berpengaruh terhadap layanan kepasa konsumen perusahaanya.
""Walaupun pengiriman (jalur) darat, kami masih bisa memenuhi target waktu. Meski pakai jalur darat kita enggak menambah waktu pengirimannya. Itu lah mengapa akhirnya kita berani untuk enggak menggunakan (jalur) udara lagi untuk di Jawa. Karena kita yakin dengan adanya tol sangat membantu,"" kata Eric.
Untuk pengiriman ke luar Pulau Jawa, Ninja Express masih memilih menggunakan alat transportasi udara. Namun, saat ini Ninja Express tengah mengkaji kemungkinan untuk menaikkan tarif pengiriman ke luar Pulau Jawa.
Baca juga: Tarif Kargo Mahal, 50 Persen Pengusaha Logistik Pindah ke Jalur Darat dan Laut
Sebab, akibat kenaikan tarif kargo udara, biaya operasional perusahaan naik hingga 70 persen.
""Untuk pengiriman ke luar pulau (Jawa) kita masih jalin partnership lebih kuat lagi untuk pilihan kargo udaranya,"" ucap dia."
Tarif Kargo Pesawat Mahal, Ninja Express Akan Naikkan Harga?;2019-03-12;"Penyedia layanan jasa pengiriman logistik,  Ninja Express tengah melakukan kajian untuk menaikkan tarif pengiriman ke luar Pulau Jawa.
Rencana kenaikan tarif ini menyusul tarif pengiriman barang melalui kargo  pesawat yang mengalami kenaikan.
""Kita masih studi implikasinya (kenaikan  tarif kargo udara) sejauh apa, kalau memang harus menaikkan harga, kita akan announce di akhir April,"" ujar Country Head Ninja Express, Eric Saputra di Jakarta, Selasa (12/3/2019).
Baca juga: Tarif Kargo Pesawat Naik, Pengiriman Barang Via Kereta Naik 20 Persen
Namun, Eric memastikan untuk pengiriman barang di Pulau Jawa tidak akan ada kenaikan tarif.
""Kita juga ada shifting operasional, terutama untuk di Jawa, tol sudah bagus, infrastruktur tambah bagus. Jadi seluruh pengiriman di Pulau Jawa tidak lagi menggunakan (jalur) udara,"" kata Eric.
Eric menambahkan, akibat kenaikan tarif kargo udara biaya operasional perusahaannya membengkak. Atas dasar itu, pihaknya tengah melakukan kajian sebelum menaikkan harga.
Baca juga: Tarif Kargo Mahal, 50 Persen Pengusaha Logistik Pindah ke Jalur Darat dan Laut
""Pasti dong. Cost kita meningkat. Oleh karena itu banyak pemain di industri (logistik) menaikkan harganya. Kenaikan cost 70 persen dari harga rata-rata,"" ucap dia."
Presiden Resmikan Pasar Rakyat Hasil Revitalisasi Kemendag;2019-03-12;"2018, pemerintah telah merevitalisasi 4.211 unit pasar rakyat yang diikuti dengan melakukan pelatihan manajemen bagi pengelola pasar.
“Kemendag akan terus bekerja keras untukmenuntaskan sisa 1.037 unit hingga 2019,” tegas Tjahya.
Adapun kesempatan peresmian pasar dan penganugerahan penghargaan pasar rakyat tersebut dihadiri lebih dari 5.000 peserta yang terdiri Bupati/Walikota dan Kepala Dinas yang membidangi Perdagangan Kabupaten/Kota setempat."
Sri Mulyani: Birokrat Jangan Jadi Pengganggu Ekonomi;2019-03-12;"Menteri Keuangan  Sri Mulyani mengingatkan para  birokrat untuk tak jadi pengganggu ekonomi dengan merecoki dunia usaha.
Hal itu ia sampaikan saat bicara dalam acara rapat kerja Kementerian Perdagangan di Jakarta, Selasa (12/3/2019).
""Dunia usaha tidak akan mampu (berkembang) kalau mereka menghadapi gangguan dari birokrasi, menghadapi ketidakpastian dari policy,"" ujarnya.
""Jadi kalau kita ingin menjadi pengganggu, penambah beban, maka kita sebenarnya mematikan ekonomi kita sendiri,"" sambung Sri Mulyani.
Mantan Direktur Pelaksana Bank Dunia itu mengatakan, para birokrat harus sadar bahwa tantangan untuk menciptakan lingkungan perekonomian yang sehat dan kompetitif ada di tangan para birokrat pemerintahan.
Oleh karena itu, menurut Sri Mulyani, para birokrat harus berbenah mulai dari cara berfikir, cara melayani hingga cara berinteraksi dengan dunia usaha.
Saat menjadi Direktur Pelaksana Bank Dunia, Sri Mulyani melihat banyak negara yang bisa maju dan stagnan. Kuncinya untuk menjadi negara maju kata dia ada tiga dan itu harus dipenuhi.
""Dari semuanya yang bisa suskes itu tiga saja yaitu institusinya kompeten, SDM-nya baik kualitasnya dan infrastrukturnya. Untuk institusi yang pertama itu adalah anda dan kita semua,"" ucap dia."
Simak, Promo Menarik Fitur QR Code Aplikasi Bank Bukopin;2019-03-12;"PT  Bank Bukopin Tbk bekerja sama dengan penyedia layanan pembayaran online PT Dimo Pay Indonesia meluncurkan fitur pay by QR pada aplikasi Wokee.
Wokee merupakan aplikasi inovasi perbankan digital yang dikembangkan Bank Bukopin yang menyasar cashless society dan milenial. Dengan  QR code, nasabah bisa lebih mudah melakukan pembayaran di sejumlah merchant mitra hanya dengan memindai barcode.
Direktur Konsumer Bank Bukopin Rivan A Purwantono mengatakan, bersamaan dengan peluncuran fitur tersebut, Bukopin menawarkan berbagai macam  promo. Salah satunya yakni penawaran membeli tiket film Captain Marvel di XXI Kota Kasablanka dengan membayar Rp 1 menggunakan aplikasi Wokee yang hanya berlaku hari ini, Selasa (12/3/2019).
Baca juga: Bank Bukopin Luncurkan Fitur QR Code di Aplikasi Wokee
""Melalui fitur pay by QR, para pengguna aplikasi Wokee juga akan mendapatkan potongan harga hingga 30 persen di berbagai merchant yang bekerja sama dengan program Wokee Super Vaganza,"" ujar Rivan di Kota Kasablanka, Selasa.
Pengguna Wokee bisa memanfaatkan promo itu di toko buku Gramedia, kedai kopi The Coffee Bean and Leaf, toko roti Bread Life, dan Amazone Family Entertainment Centre. Program promo tersebut berlaku sampai dengan Mei 2019.
Selain itu, tiap bulannya, Wokee juga memberikan promo diskon 50 persen di tanggal-tanggal tertentu.  Promo yang dikhususkan di saat gajian karyawan itu hanya berlaku pada tanggal 25-26 dan tanggal 1-2 setiap bulan.
Baca juga: Bukopin Kejar Fee Based Income dari Penjualan Tiket Kereta dan Pesawat
Saat ini, sudah ada 2.200 outlet merchant nasional dan 420 merchant UMKM yang menerima pembayaran melalui Wokee pay by QR. Rivan mengatakan, dengan fitur baru ini, Bukopin ingin menjadikan Wokee zebagai bagian dari gaya hidup generasi milenial yang mengedepankan kenyamanan dan kemudahan dalam bertransaksi.
“Tidak dipungkiri lagi bahwa saat ini yang dibutuhkan para milenial adalah nyaman, mudah dan ekonomis. Berbagai kebutuhan transaksi mulai dari untuk kebutuhan kuliner hingga hobi dan rekreasi bisa dilakukan secara digital dan aman,” kata Rivan.
Rivan mengatakan, saat tren pembayaran dengan menggunakan QR code semakin populer. Meski belum sebanyak penggunaan dengan kartu, namun ke depan tren ini akan terus bertumbuh.
Baca juga: Bukopin Masih Tahan Kenaikan Bunga Kredit, Ini Alasannya
Industri perbankan juga berlomba-lomba untuk beralih ke cara pembayaran by QR. Sampai saat ini total pengguna aktif Wokee mencapai 21.000 akun. Bukopin melalui aplikasi ini juga menggandeng Go-Pay untuk menjadi channel mengisi ulang saldo Go-Pay.
""Dengan Wokee kita bisa top up Go-Pay. Dalam waktu dekat bisa OVO. Suksesnya proses digital adalah masuk ke ekosistem dan melakukan kolaborasi dengan baik,"" kata Rivan.
"
Tergiur Janji Cepat Kaya, Banyak Orang Jadi Korban MLM Abal-abal;2019-03-12;" Bisnis Multi Level Marketing ( MLM) banyak dilirik orang. Sebab,  bisnis MLM sering menjanjikan keuntungan atau imbalan besar jika bergabung, tanpa memperhitungkan risikonya.
Penyidik Direktorat Tipidensus Bareskrim Polri Wawan Muliawan mengatakan, banyak yang menjadi korban bisnis MLM yang tak jelas karena tergiur dengan janji yang diberikan.
""Kita menjadi korbannya, karena apa? Bahwa kita berangan-angan untuk mendapat kekayaan dan pendapatan dengan mudah,"" kata Wawan dalam diskusi di The Dharmawangsa Hotel, Jakarta, Selasa (12/3/2019).
Baca juga: Kemendag: MLM dan Waralaba Didorong Online
Menurut Wawan, saat ini perkembangan zaman dan teknologi membuat bisnis ini semakin cepat menyebar. Infomasi keberadaannya cepat diketahui publik, sehingga masyarakat ramai yang ingin bergabung.
""Sekarang zaman sudah cukup maju, modern, kehidupan baik, uang banyak. Sampai kita bingung menyimpan uang itu di mana. Didukung dengan adanya informasi yang sangat mudah masuk kepada kita, (yang) baik maupun yang buruk termasuk masalah investasi ini,"" ujarnya.
Dia mengatakan, melihat kondisi dan keadaan masyarakat seperti itu, mulailah muncul bisnis MLM bodong. Banyak pihak yang memanfaatkan situasi itu tanpa mempertimbangkan dampak atau  kerugian yang akan timbul.
Baca juga: Takut Disaingi, Pengusaha Jamu Minta Pemerintah Larang Jamu dari MLM
""Akhirnya, bahwa informasi itu didukung dengan keadaan kita memiliki dana cukup. Banyak pihak yang menyelenggarakan investasi secara ilegal dan kita yang menjadi korbannya,"" sebutnya
Ia menjelaskan, bisnis MLM pada dasarnya tidak ada yang salah dijalankan. Namun, ada oknum yang menyelenggarakan bisnis ini degan tidak semestinya, sehingga bisnis MLM banyak dianggap negatif dan tidak jelas.
Pola tindakan yang dilakukan oknum itu dikenal dengan skema piramida. Pola-pola inilah yang sering mengelabui masyarakat, hingga akhirnya menjadi korban penipuan.
Baca juga: Mengenal Bisnis MLM
""Bahwa kejahatan justru lawan dari MLM ini adalah skema piramida. Intinya, merekrut anggotanya dengan menjanjikan pembayaran atua jasa apabila mereka bisa merekrut orang lain untuk bergabung,"" ungkapnya.
""Intinya bahwa prestasi terhadap yang diberikan itu bukan dari hasil penjualan barang. Keuntungan itu diperoleh dari berhasil merekrut anggotanya,"" tambahnya.
Dikatakannya, ada beberapa ciri-ciri yang dapat membedakan bisnis MLM dan bisnis dengan skema piramida tersebut. Terkadang, sulit publik sulit membedakan ciri ini, apalagi jika sudah tergiur dengan janji atau imbalan.
Ciri itu antara lain menawarkan keuntungan besar dan cepat, menawarkan hal-hal baik padahal tipu belaka, dan beberapa lainnya.
Baca juga: Munas NU Haramkan Bisnis MLM, Ini Alasannya
""Terkait perkaran ini, biasanya berdampak sanagt luas. Karena korban banyak, ini tentunya mengganggu ketertiban dan keamanan,"" imbuhnya.
Selain itu, mereka yang menjadi korban bisnis bodong berkedok MLM ini cenderung memiliki pengetahuan rendah. Mereka sangat mudah percaya karena literasi tentang keuangan dan investasi sangat minim.
Bisnis ini juga sulit diberantas dan dibongkar karena sangat minim korbannya untuk melapor kepada pihak berwajib. Ini menjadi salah satu penghambat bisnis ini dituntaskan.
""Masyarkat enggan melapor, malu. Secara badan hukum tidak jelas, biasa mengecoh aparat, pelaku tidak kooperatif, termasuk menyembunyikan hasil kejahatan,"" paparnya."
Bank Bukopin Luncurkan Fitur QR Code di Aplikasi Wokee;2019-03-12;"PT  Bank Bukopin Tbk bekerja sama dengan PT Dimo Pay Indonesia meluncurkan fitur pembayaran dengan  QR code pada  aplikasi Wokee melalui program Wokee Super Vaganza.
Penyelenggaraan program Wokee Super Vaganza bertujuan untuk meningkatkan jumlah  transaksi dan kepuasan pelanggan dalam menggunakan aplikasi Wokee.
Wokee merupakan aplikasi inovasi perbankan digital yang dikembangkan Bank Bukopin untuk menyasar pengguna yang gemar menggunakan aplikasi digital dan cashless society.
Baca juga: Bukopin Kejar Fee Based Income dari Penjualan Tiket Kereta dan Pesawat
Direktur Konsumer Bank Bukopin Rivan Achmad Purwantono mengatakan, aplikasi Wokee telah diluncurkan sejak akhir 2018. Dalam jangka waktu enam bulan hingga saat ini, aplikasi ini telah didownload dan aktif digunakan oleh hampir 21.000 pengguna.
""Pengembangan Wokee ini adalah fitur lengkap. Meskipun standar aturan QR belum keluar dari regulasi, tetapi kami yakin dan paling tidak harus mulai,"" kata Rivan di Jakarta, Selasa (12/3/2019).
Rivan bilang, aplikasi Wokee akan terus dilengkapi ke depan. Semua transaksi akan bisa dilakukan lewat aplikasi ini. Saat ini Bank Bukopin sedang mengembangkan satu fitur yang akan menjadikannya semua personal finance management.
Baca juga: Bukopin Masih Tahan Kenaikan Bunga Kredit, Ini Alasannya
Meskipun sudah memiliki aplikasi QR code sendiri, Rivan bilang pihaknya tidak akan bersaing dengan berbagai bisnis acquiring yang telah ada saat ini seperti Go-Pay dan OVO.
""Kita tidak akan main sendiri, karena bisnis seperti ini berhasil jika dilakukan dalam satu sistem dan melakukan kolaborasi,"" kata Rivan.
Melalui fitur pay by QR, para pengguna aplikasi Wokee akan mendapatkan potongan harga hingga 30 persen di berbagai merchant yang bekerja sama dengan program Wokee Super Vaganza.
Baca juga: Peluncuran Standarisasi QR Code BI Ditunda Tahun Depan
Pada program tersebut, pengguna Wokee juga akan mendapatkan promo potongan harga hingga 30 persen di toko buku Gramedia, kedai kopi The Coffee Bean and Leaf, toko roti Bread Life dan Amazone Family Entertainment Centre. Program promo tersebut berlaku sampai dengan bulan Mei 2019.
Khusus pada tanggal 12 Marat 2019, program Wokee Super Vaganza memberikan penawaran menarik menonton film Captain Marvel di XXI Kota Kasablanka dengan hanya membayar Rp1,menggunakan aplikasi Wokee.
Saat ini sudah ada 2.200 outlet merchant nasional dan 420 merchant UMKM yang menerima pembayaran melalui Wokee pay by QR. (Dina Mirayanti Hutauruk)

Berita ini sudah tayang di Kontan.co.id dengan judul: Bank Bukopin luncurkan QR Code di aplikasi Wokee"
Cerita Menteri Darmin Cari Anggrek, Justru Dapat Cerita soal Kepemilikan Tanah;2019-03-12;"Sebagian masyarakat Indonesia masih gemar membeli tanah ketimbang menyimpan dananya di bank. Menteri Koordinator Perekonomian  Darmin Nasution punya pengalaman tak terduga terkait hal tersebut.
""Saya karena senang (bunga) anggrek, pernah saya nyari-nyari ke pinggir Jakarta sekitar 20-30 km dari Jakarta,"" cerita Darmin saat bicara di Raker Kemendag, Jakarta, Selasa (12/3/2019).
""Semua selalu jawab itu (tanah) punya orang kaya dari Jakarta (saat saya tanya soal tanah di tepi jalan). Luar biasa. Itu adalah masalah jangka panjang,"" sambung dia,
Menurut Darmin, kegemaran masyarakat Indonesia membeli tanah tidak produktif lantaran tidak dimanfaatkan untuk kegiatan usaha.
Tanah biasanya dibiarkan sambil menunggu harganya naik atau ustri diwariskan untuk anak-cucu.
""Semua orang punya tanah untuk diri sendiri, anak-cucu, padahal nunggunya 15 tahun baru naik itu harganya,"" ucap Darmin.
Padahal kata dia, andai kebiasaan itu diubah dengan menyimpan dana di bank, maka dana pihak ketiga (DPK) akan meningkat.
Hal ini lebih bermanfaat dari sekedar membeli tanah karena bisa meningkatkan permodalan untuk pembangunan.
""Banyak orang tidak suka dengan modal asing tetapi senangnya beli tanah, kalau properti beli tanah ya boleh lah ya,"" tutur dia,"
Siapkan Dana Darurat, Berapa Ideal Porsinya dari Pengeluarnya?;2019-03-12;" Dana darurat adalah salah satu instrumen keuangan yang kerap kali terlupa untuk dialokasikan.
Padahal,  dana darurat menjadi penting untuk dicadangkan sebagai dana utama yang digunakan ketika berada dalam kondisi mendesak atau genting, misalnya ketika tiba-tiba berhenti dari pekerjaan, untuk mencukupi berbagai kebutuhan sehari-hari.
Founder dan CEO Finansialku Melvin Mumpuni mengatakan, sebagian besar  milenial Indonesia masih belum menyiapkan dana darurat sehingga kondisi keuangan mereka cenderung tidak aman.
Baca juga: Dana Darurat Bisa Disiapkan dengan Investasi Emas Batangan
Pasalnya, sebagian besar milenial Indonesia menggunakan 51 persen pendapatannya untuk kebutuhan bulanan. Nilai tabungan hanya 11 persen dari pendapatan, dan investasi hanya 2 persen.
""Kalau sampai terjadi sesuatu dengan sumber income-nya, milenial ini masih bingung untuk hidup 12 bulan ke depan dari mana sumbernya. Enggak ada safety stock,"" ujar Melvin di Jakarta, Selasa (12/3/2019).
Untuk itulah, mencadangkan pendapatan untuk dana darurat menjadi hal krusial yang perlu dilakukan segera.
Baca juga: Ingin Punya Dana Darurat? Terapkan 5 Hal Ini
Melvin mengatakan, setidaknya untuk seseorang yang masih lajang atau belum menikah, besaran dana darurat ini enam kali lipat dari  pengeluaran bulanan. Sementara, untuk pasangan suami istri besaran dana darurat adalah sembilan kali lipat dari pengeluaran bulanan.
Adapun untuk pasangan menikah yang sudah memiliki anak, besaran dana darurat yang ideal adalah 12 kali lipat dari pengeluaran bulanan.
""Kenapa kalau menikah dan punya anak minimal 12 bulan? Karena kalau sudah punya anak dan tiba-tiba dipecat, sekolah anakpun tetap harus dibayar, enggak peduli bagaimana kondisi keuangannya,"" ujar dia.
Baca juga: Siapkan Dana Darurat dengan Berbagai Jenis Investasi Ini!
Dana darurat ini, ujar Melvin minimal sudah harus dikumpulkan oleh seseorang dalam kurun waktu satu tahun setelah dirinya bekerja. Sebab, ketiadaan dana darurat bisa menjadi memunculkan masalah baru ketika seseorang tengah terhimpit berbagai kemungkinan terburuk terkait masalah keuangan.
Pencadangan dana darurat ini, ujar Melvin harus didahulukan sebelum investasi. Penempatan dana darurat pun harus dilakukan di instrumen-instrumen yang sewaktu-waktu mudah dicairkan.
""Selain itu, juga di instrumen dengan risiko yang rendah,"" ujar dia."
Dana Darurat Bisa Disiapkan dengan Investasi Emas Batangan;2019-03-12;"Berdasarkan sejumlah penelitian, kebanyakan milenial dalam negeri hanya mengalokasikan pendapatan mereka 11 persen untuk menabung. Porsi  investasi milenial pun lebih kecil lagi, yaitu hanya sebesar 2 persen dari pendapatan bulanan mereka. Padahal, sebesar 23,77 persen penduduk Indonesia adalah generasi milenial.
Head of Brand Development Treasury Narantara Sitep mengatakan, pola pengelolaan finansial milenial Indonesia tersebut bisa berdampak buruk di masa depan jika tidak segera dibenahi.
""Rendahnya literasi dan kesadaran akan manfaat menabung pada generasi milenial berdampak pada rendahnya aktualisasi mereka untuk memiliki simpanan. Sehingga Treasury berinisiatif melakukan Gerakan #PunyaSimpenan Emas,"" ujar dia di Jakarta, Selasa (12/3/2019).
Dia mengatakan, untuk meningkatkan literasi keuangan dan membangun kesadaran generasi milenial untuk menabung, kampanye yang digaungkan Treasury akan mengangkat topik dana darurat.
Menurut dia, dana darurat merupakan komponen mendasar dalam pengelolaan keuangan yang kerap kali terlupakan.

Founder dan CEO Finansialku Melvin Mumpuni mengatakan menambahkan bahwa emas 24 karat merupakan salah satu instrumen yang bisa menjadi pilihan seseorang ketika menyiapkan dana darurat lantaran mudah diuangkan dan memiliki tingkat risiko rendah.
""Salah satu instrumen yang bisa dipilih untuk menyimpan dana darurat adalah emas 24 karat. Hindari menyimpan dana darurat dalam bentuk perhiasan, karena nilai jualnya akan dikurangi oleh biaya produksi dan juga desain perhiasan tersebut,"" ujar Melvin pada kesempatan yang sama."
